Date : 2024-01-15 12:05:23
Directory : f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT
Total : 1235 files,  599698 codes, 274558 comments, 107903 blanks, all 982159 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\complex_math_tests\complex_math_templates.h                    | C++      |        120 |         74 |         29 |        223 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\complex_math_tests\complex_math_test_data.h                    | C++      |         25 |         12 |         14 |         51 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\complex_math_tests\complex_math_test_group.h                   | C++      |          4 |          3 |          3 |         10 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\complex_math_tests\complex_math_tests.h                        | C++      |          9 |          3 |          3 |         15 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\controller_tests\controller_templates.h                        | C++      |         22 |         16 |          9 |         47 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\controller_tests\controller_test_data.h                        | C++      |         17 |          9 |          8 |         34 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\controller_tests\controller_test_group.h                       | C++      |          4 |          3 |          3 |         10 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\controller_tests\controller_tests.h                            | C++      |          6 |          3 |          3 |         12 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\fast_math_tests\fast_math_templates.h                          | C++      |         75 |         16 |         12 |        103 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\fast_math_tests\fast_math_test_data.h                          | C++      |         13 |          9 |          8 |         30 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\fast_math_tests\fast_math_test_group.h                         | C++      |          4 |          3 |          3 |         10 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\filtering_tests\filtering_templates.h                          | C++      |         38 |         41 |         13 |         92 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\filtering_tests\filtering_test_data.h                          | C++      |         53 |         15 |         14 |         82 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\filtering_tests\filtering_test_group.h                         | C++      |          4 |          3 |          3 |         10 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\filtering_tests\filtering_tests.h                              | C++      |          9 |          3 |          4 |         16 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\intrinsics_tests\intrinsics_templates.h                        | C++      |        138 |         16 |         13 |        167 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\intrinsics_tests\intrinsics_test_data.h                        | C++      |         11 |          9 |          8 |         28 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\intrinsics_tests\intrinsics_test_group.h                       | C++      |          4 |          3 |          3 |         10 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\math_helper.h                                                  | C++      |         19 |         30 |          4 |         53 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\matrix_tests\matrix_templates.h                                | C++      |        269 |         62 |         40 |        371 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\matrix_tests\matrix_test_data.h                                | C++      |         30 |         14 |         11 |         55 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\matrix_tests\matrix_test_group.h                               | C++      |          4 |          3 |          3 |         10 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\matrix_tests\matrix_tests.h                                    | C++      |         12 |          3 |          3 |         18 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\statistics_tests\statistics_templates.h                        | C++      |         86 |         43 |         29 |        158 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\statistics_tests\statistics_test_data.h                        | C++      |         21 |         12 |         12 |         45 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\statistics_tests\statistics_test_group.h                       | C++      |          4 |          3 |          3 |         10 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\statistics_tests\statistics_tests.h                            | C++      |         10 |          3 |          3 |         16 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\support_tests\support_templates.h                              | C++      |         63 |         41 |         17 |        121 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\support_tests\support_test_data.h                              | C++      |         13 |         10 |          9 |         32 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\support_tests\support_test_group.h                             | C++      |          4 |          3 |          3 |         10 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\support_tests\support_tests.h                                  | C++      |          6 |          3 |          3 |         12 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\templates\template.h                                           | C++      |         48 |         31 |         10 |         89 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\templates\test_templates.h                                     | C++      |        330 |        102 |         27 |        459 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\transform_tests\transform_templates.h                          | C++      |        114 |         53 |         15 |        182 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\transform_tests\transform_test_data.h                          | C++      |         27 |         12 |         10 |         49 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\transform_tests\transform_test_group.h                         | C++      |          4 |          3 |          3 |         10 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\transform_tests\transform_tests.h                              | C++      |          8 |          3 |          3 |         14 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\inc\type_abbrev.h                                                  | C++      |         17 |         14 |          7 |         38 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\ARMCC\Retarget.c                                          | C        |         22 |         15 |         16 |         53 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\GCC\Retarget.c                                            | C        |         69 |         15 |         23 |        107 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_ARMCM0.c                                           | C        |         13 |         35 |          9 |         57 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_ARMCM23.c                                          | C        |         31 |         38 |         14 |         83 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_ARMCM3.c                                           | C        |         19 |         38 |         12 |         69 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_ARMCM33.c                                          | C        |         45 |         38 |         17 |        100 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_ARMCM4.c                                           | C        |         32 |         38 |         14 |         84 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_ARMCM7.c                                           | C        |         34 |         38 |         14 |         86 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_ARMSC000.c                                         | C        |         13 |         35 |          9 |         57 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_ARMSC300.c                                         | C        |         22 |         38 |         13 |         73 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_ARMv8MBL.c                                         | C        |         25 |         38 |         14 |         77 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_ARMv8MML.c                                         | C        |         46 |         38 |         16 |        100 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\platform\system_generic.c                                          | C        |         19 |          0 |          9 |         28 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\all_tests.c                                                    | C        |         25 |          3 |          3 |         31 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\abs_tests.c                                   | C        |         25 |          3 |          5 |         33 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\add_tests.c                                   | C        |         26 |          3 |          5 |         34 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\basic_math_test_common_data.c                 | C        |         60 |         22 |         20 |        102 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\basic_math_test_group.c                       | C        |         15 |          0 |          3 |         18 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\dot_prod_tests.c                              | C        |         26 |          3 |          5 |         34 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\mult_tests.c                                  | C        |         26 |          3 |          5 |         34 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\negate_tests.c                                | C        |         25 |          3 |          5 |         33 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\offset_tests.c                                | C        |         26 |          3 |          5 |         34 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\scale_tests.c                                 | C        |         42 |          4 |          7 |         53 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\shift_tests.c                                 | C        |         24 |          3 |          5 |         32 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\basic_math_tests\sub_tests.c                                   | C        |         26 |          3 |          5 |         34 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\complex_math_tests\cmplx_conj_tests.c                          | C        |         24 |          3 |          5 |         32 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\complex_math_tests\cmplx_dot_prod_tests.c                      | C        |         24 |          3 |          5 |         32 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\complex_math_tests\cmplx_mag_squared_tests.c                   | C        |         24 |          3 |          5 |         32 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\complex_math_tests\cmplx_mag_tests.c                           | C        |         24 |          3 |          5 |         32 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\complex_math_tests\cmplx_mult_cmplx_tests.c                    | C        |         24 |          3 |          5 |         32 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\complex_math_tests\cmplx_mult_real_test.c                      | C        |         24 |          3 |          5 |         32 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\complex_math_tests\complex_math_test_common_data.c             | C        |         85 |         10 |         20 |        115 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\complex_math_tests\complex_math_test_group.c                   | C        |         12 |          0 |          3 |         15 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\controller_tests\controller_test_common_data.c                 | C        |        484 |          6 |         10 |        500 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\controller_tests\controller_test_group.c                       | C        |          9 |          3 |          2 |         14 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\controller_tests\pid_reset_tests.c                             | C        |         36 |         11 |          6 |         53 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\controller_tests\pid_tests.c                                   | C        |         65 |         10 |          5 |         80 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\controller_tests\sin_cos_tests.c                               | C        |        100 |         34 |         18 |        152 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\fast_math_tests\fast_math_tests.c                              | C        |         25 |          6 |          8 |         39 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\fast_math_tests\fast_math_tests_common_data.c                  | C        |        354 |          5 |          6 |        365 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\filtering_tests\biquad_tests.c                                 | C        |        211 |         10 |         24 |        245 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\filtering_tests\conv_tests.c                                   | C        |        348 |         78 |         48 |        474 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\filtering_tests\correlate_tests.c                              | C        |        203 |         74 |         34 |        311 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\filtering_tests\filtering_test_common_data.c                   | C        |        702 |         26 |         30 |        758 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\filtering_tests\filtering_test_group.c                         | C        |         12 |          3 |          3 |         18 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\filtering_tests\fir_tests.c                                    | C        |        378 |          6 |         19 |        403 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\filtering_tests\iir_tests.c                                    | C        |         66 |          6 |          5 |         77 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\filtering_tests\lms_tests.c                                    | C        |        205 |          6 |          9 |        220 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\intrinsics_tests\intrinsics_tests.c                            | C        |         53 |          6 |          4 |         63 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\intrinsics_tests\intrinsics_tests_common_data.c                | C        |        180 |          5 |          5 |        190 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\main.c                                                         | C        |         19 |          0 |          9 |         28 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\math_helper.c                                                  | C        |        246 |        150 |         96 |        492 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\mat_add_tests.c                                   | C        |         24 |          3 |          5 |         32 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\mat_cmplx_mult_tests.c                            | C        |         43 |          9 |          8 |         60 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\mat_init_tests.c                                  | C        |         48 |          6 |          5 |         59 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\mat_inverse_tests.c                               | C        |         64 |         10 |         19 |         93 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\mat_mult_fast_tests.c                             | C        |         41 |          9 |          8 |         58 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\mat_mult_tests.c                                  | C        |         43 |          9 |          8 |         60 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\mat_scale_tests.c                                 | C        |         73 |          7 |         11 |         91 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\mat_sub_tests.c                                   | C        |         24 |          6 |          5 |         35 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\mat_trans_tests.c                                 | C        |         23 |          6 |          5 |         34 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\matrix_test_common_data.c                         | C        |        196 |         38 |         22 |        256 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\matrix_tests\matrix_test_group.c                               | C        |         15 |          3 |          2 |         20 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\statistics_tests\max_tests.c                                   | C        |         26 |          6 |          5 |         37 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\statistics_tests\mean_tests.c                                  | C        |         26 |          6 |          5 |         37 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\statistics_tests\min_tests.c                                   | C        |         26 |          6 |          5 |         37 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\statistics_tests\power_tests.c                                 | C        |         26 |          6 |          5 |         37 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\statistics_tests\rms_tests.c                                   | C        |         24 |          6 |          5 |         35 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\statistics_tests\statistics_test_common_data.c                 | C        |         62 |         14 |         19 |         95 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\statistics_tests\statistics_test_group.c                       | C        |         13 |          0 |          2 |         15 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\statistics_tests\std_tests.c                                   | C        |         24 |          6 |          5 |         35 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\statistics_tests\var_tests.c                                   | C        |         24 |          6 |          5 |         35 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\support_tests\copy_tests.c                                     | C        |         26 |          3 |          5 |         34 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\support_tests\fill_tests.c                                     | C        |         26 |          6 |          5 |         37 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\support_tests\support_test_common_data.c                       | C        |         52 |         18 |         16 |         86 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\support_tests\support_test_group.c                             | C        |          9 |          0 |          2 |         11 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\support_tests\x_to_y_tests.c                                   | C        |         62 |          7 |         12 |         81 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\transform_tests\cfft_family_tests.c                            | C        |        101 |         69 |         14 |        184 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\transform_tests\cfft_tests.c                                   | C        |        117 |         12 |         16 |        145 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\transform_tests\dct4_tests.c                                   | C        |        166 |         24 |          8 |        198 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\transform_tests\rfft_fast_tests.c                              | C        |         64 |          7 |          5 |         76 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\transform_tests\rfft_tests.c                                   | C        |         80 |         10 |          5 |         95 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\transform_tests\transform_test_group.c                         | C        |         10 |          0 |          2 |         12 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\Common\src\transform_tests\transform_tests_common_data.c                  | C        |      3,253 |         38 |         21 |      3,312 |
| f:\Working\中医\中医装备代码8-20出差回\2023-12-9-SWD&XWTT\Drivers\CMSIS\DSP\DSP_Lib_TestSuite\RefLibs\inc\ref.h                                                         | C++      |      1,067 |         80 |        250 |      1,397 |
